time,open,high,low,close,vwap,vol
1567324800,8.072,8.073,7.995,8.051,8.044,84.51999429,40
1567339200,8.043,8.103,8.010,8.103,8.027,197.27982433,17
1567353600,8.071,8.071,8.000,8.004,8.020,314.45056127,40
1567368000,8.004,8.149,7.968,8.078,8.058,367.72512335,46
1567382400,8.078,8.078,7.985,7.987,8.001,14.08174791,25
1567396800,7.987,8.027,7.986,7.986,8.008,179.97571150,25
1567411200,7.996,8.040,7.995,8.029,8.016,128.61733045,16
1567425600,8.029,8.121,8.029,8.096,8.080,167.35552136,12
1567440000,8.117,8.343,8.117,8.292,8.249,382.73894890,37
1567454400,8.240,8.370,8.156,8.156,8.248,733.58936662,74
1567468800,8.156,8.233,8.126,8.233,8.151,31.22175012,11
1567483200,8.233,8.284,8.217,8.281,8.274,54.39764432,12
1567497600,8.281,8.281,8.184,8.198,8.200,181.11064295,11
1567512000,8.198,8.534,8.198,8.428,8.414,623.62957684,57
1567526400,8.428,8.444,8.308,8.308,8.399,171.03129147,20
1567540800,8.308,8.341,8.153,8.228,8.274,1211.33255139,71
1567555200,8.228,9.758,8.121,8.731,9.072,2214.74560194,190
1567569600,8.781,8.781,8.441,8.745,8.573,1530.23004260,128
1567584000,8.745,8.745,8.641,8.641,8.698,218.82123298,30
1567598400,8.641,8.865,8.369,8.407,8.683,941.91421888,70
1567612800,8.414,8.643,8.414,8.643,8.532,455.77645030,29
1567627200,8.643,8.643,8.342,8.418,8.425,1278.05650614,61
1567641600,8.418,8.552,8.418,8.552,8.461,93.20875245,10
1567656000,8.556,8.801,8.556,8.665,8.747,846.17526951,56
1567670400,8.665,8.741,8.640,8.735,8.691,643.12019959,29
1567684800,8.735,8.869,8.722,8.843,8.835,280.33812410,27
1567699200,8.843,9.062,8.698,9.062,8.862,1194.17070233,76
1567713600,9.097,9.405,9.097,9.105,9.250,1389.47953965,89
1567728000,9.105,10.171,9.105,9.442,9.545,1532.58165078,117
1567742400,9.442,10.757,9.393,10.199,10.074,2295.90343359,181
1567756800,10.199,12.971,10.199,12.217,11.547,2150.41321455,175
1567771200,12.066,12.429,10.954,10.981,11.442,3369.09641635,293
1567785600,10.941,11.083,10.219,10.461,10.794,2015.70159379,205
1567800000,10.384,11.638,10.216,11.140,10.835,6195.83854779,346
1567814400,11.140,11.310,10.693,11.278,10.927,1493.76550519,114
1567828800,11.114,11.300,10.837,11.078,11.010,382.24379631,37
1567843200,11.118,11.894,11.057,11.305,11.295,3120.05787857,177
1567857600,11.305,11.305,10.890,10.935,11.027,931.50107495,59
1567872000,10.917,10.919,10.631,10.830,10.785,861.83550152,59
1567886400,10.827,10.927,10.774,10.874,10.879,709.89678516,54
1567900800,10.957,11.262,10.824,10.872,11.016,2199.83200027,140
1567915200,10.845,11.115,10.767,11.013,10.945,1758.71262501,107
1567929600,11.052,11.094,10.898,10.898,11.013,369.00964343,37
1567944000,10.898,10.978,10.898,10.956,10.958,34.23288708,12
1567958400,10.956,11.026,10.905,10.905,10.941,112.01253428,5
1567972800,10.905,10.944,10.817,10.939,10.915,407.58784687,20
1567987200,10.882,10.905,10.500,10.509,10.683,1323.11826008,97
1568001600,10.509,10.683,10.509,10.629,10.578,683.53665639,45
1568016000,10.636,10.873,10.624,10.691,10.727,307.47748674,25
1568030400,10.807,10.812,10.523,10.569,10.618,1574.74615803,122
1568044800,10.559,11.160,10.481,10.566,10.576,731.37540230,49
1568059200,10.566,10.826,10.566,10.657,10.645,644.52413304,39
1568073600,10.678,10.747,10.574,10.618,10.637,598.68804500,22
1568088000,10.618,10.634,10.494,10.634,10.556,628.18035388,34
1568102400,10.634,10.722,10.436,10.490,10.515,1511.96165943,106
1568116800,10.490,10.512,10.339,10.375,10.435,971.91162199,76
1568131200,10.361,10.394,10.030,10.088,10.184,1388.42169663,79
1568145600,10.039,10.284,10.039,10.250,10.217,367.82988546,16
1568160000,10.306,10.306,10.011,10.119,10.141,1708.17286498,72
1568174400,10.119,10.224,10.107,10.111,10.128,235.77461917,30
1568188800,10.111,10.171,10.039,10.118,10.070,301.77569078,34
1568203200,10.118,10.235,10.118,10.168,10.204,195.73127433,17
1568217600,10.173,10.262,10.101,10.213,10.172,453.33439987,30
1568232000,10.213,10.369,10.204,10.259,10.283,771.13600055,76
1568246400,10.262,10.314,10.231,10.231,10.272,398.90958797,38
1568260800,10.235,10.341,10.235,10.341,10.260,311.65225676,32
1568275200,10.363,11.334,10.363,10.540,10.813,2186.48602748,232
1568289600,10.517,10.897,10.490,10.747,10.664,1009.56629683,111
1568304000,10.774,10.879,10.638,10.663,10.730,293.16807481,29
1568318400,10.663,10.663,10.479,10.496,10.531,1162.67643353,97
1568332800,10.496,10.545,10.434,10.519,10.496,773.47213022,58
1568347200,10.522,10.524,10.491,10.506,10.516,357.12813801,32
1568361600,10.506,10.506,10.458,10.491,10.479,133.43941688,23
1568376000,10.491,10.512,10.483,10.512,10.509,329.48858747,33
1568390400,10.464,10.468,10.377,10.387,10.418,105.74302575,13
1568404800,10.387,10.497,10.311,10.459,10.362,684.79134584,59
1568419200,10.498,10.498,10.410,10.412,10.432,278.84334979,23
1568433600,10.412,10.421,10.379,10.402,10.398,395.06178288,40
1568448000,10.437,10.446,10.389,10.422,10.419,225.23916683,31
1568462400,10.425,10.492,10.419,10.464,10.455,357.54513903,34
1568476800,10.446,10.533,10.440,10.494,10.496,395.70986553,46
1568491200,10.480,10.664,10.469,10.664,10.580,395.43254246,21
1568505600,10.664,10.756,10.523,10.598,10.640,717.42911540,40
1568520000,10.625,10.668,10.612,10.612,10.613,31.63341525,3
1568534400,10.612,10.612,10.514,10.514,10.580,181.83758150,21
